,1,2,3,4,5,6,7,8,9,10,convexo
0,35.0,3.0,52.0,20.0,43.0,12.0,0.0,0.0,0.0,0.0,0.0
1,3.0,20.0,52.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,41.0,10.0,-1.0,53.0,15.0,3.0,24.0,23.0,40.0,23.0,0.0
3,53.0,15.0,3.0,-1.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0
4,43.0,25.0,25.0,31.0,45.0,35.0,43.0,24.0,0.0,0.0,0.0
5,31.0,43.0,45.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0
6,4.0,5.0,13.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,4.0,13.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,21.0,32.0,14.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,51.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,20.0,23.0,-1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-1.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,52.0,43.0,23.0,14.0,31.0,53.0,45.0,0.0,0.0,0.0,0.0
13,45.0,14.0,31.0,52.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0
14,43.0,41.0,35.0,20.0,41.0,33.0,10.0,22.0,21.0,0.0,0.0
15,35.0,10.0,20.0,41.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0
16,4.0,5.0,55.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,4.0,42.0,55.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,21.0,24.0,41.0,-1.0,42.0,20.0,50.0,0.0,0.0,0.0,0.0
19,-1.0,50.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,24.0,1.0,45.0,32.0,50.0,54.0,33.0,24.0,0.0,0.0,0.0
21,1.0,50.0,54.0,45.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0
22,31.0,41.0,40.0,34.0,33.0,31.0,12.0,24.0,0.0,0.0,0.0
23,41.0,34.0,24.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0
24,34.0,31.0,23.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,43.0,-1.0,51.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,-1.0,51.0,43.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,24.0,31.0,31.0,14.0,2.0,50.0,41.0,23.0,0.0,0.0,0.0
29,2.0,50.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,-1.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,52.0,51.0,12.0,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
33,15.0,1.0,10.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0
34,30.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,30.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,55.0,32.0,54.0,33.0,2.0,5.0,15.0,4.0,10.0,31.0,0.0
37,2.0,10.0,31.0,54.0,55.0,5.0,0.0,0.0,0.0,0.0,1.0
38,5.0,33.0,22.0,35.0,10.0,34.0,3.0,22.0,24.0,0.0,0.0
39,10.0,33.0,35.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
40,24.0,40.0,15.0,40.0,53.0,14.0,40.0,53.0,4.0,24.0,0.0
41,4.0,40.0,53.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,41.0,24.0,42.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,41.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,54.0,34.0,21.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
45,3.0,21.0,51.0,54.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0
46,42.0,54.0,4.0,4.0,52.0,13.0,43.0,44.0,0.0,0.0,0.0
47,54.0,4.0,13.0,42.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0
48,43.0,14.0,33.0,33.0,10.0,43.0,20.0,54.0,20.0,0.0,0.0
49,54.0,14.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,23.0,55.0,55.0,45.0,52.0,2.0,21.0,0.0,0.0,0.0,0.0
51,2.0,21.0,52.0,55.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0
52,-1.0,50.0,13.0,44.0,20.0,5.0,11.0,0.0,0.0,0.0,0.0
53,-1.0,50.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,44.0,20.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,44.0,10.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,25.0,40.0,31.0,5.0,51.0,14.0,42.0,14.0,55.0,4.0,0.0
57,40.0,51.0,55.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
58,53.0,22.0,23.0,31.0,21.0,13.0,12.0,24.0,34.0,0.0,0.0
59,31.0,53.0,34.0,24.0,13.0,12.0,21.0,0.0,0.0,0.0,1.0
60,12.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,22.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,25.0,24.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,44.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,2.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,2.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,12.0,40.0,40.0,31.0,2.0,42.0,23.0,12.0,51.0,0.0,0.0
67,23.0,2.0,40.0,51.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0
68,41.0,2.0,1.0,44.0,1.0,1.0,32.0,3.0,23.0,0.0,0.0
69,41.0,44.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,53.0,23.0,5.0,31.0,53.0,32.0,44.0,42.0,22.0,4.0,0.0
71,31.0,53.0,44.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
72,31.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,25.0,40.0,23.0,30.0,52.0,24.0,32.0,51.0,24.0,12.0,0.0
75,25.0,12.0,30.0,40.0,51.0,52.0,0.0,0.0,0.0,0.0,1.0
76,52.0,-1.0,10.0,45.0,10.0,24.0,54.0,31.0,44.0,0.0,0.0
77,24.0,-1.0,10.0,52.0,54.0,45.0,0.0,0.0,0.0,0.0,1.0
78,10.0,24.0,54.0,31.0,10.0,15.0,51.0,13.0,0.0,0.0,0.0
79,15.0,10.0,51.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,15.0,24.0,22.0,15.0,2.0,21.0,35.0,0.0,0.0,0.0,0.0
81,2.0,21.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,1.0,51.0,10.0,55.0,14.0,42.0,12.0,53.0,53.0,0.0,0.0
83,51.0,55.0,14.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
84,20.0,33.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,4.0,20.0,52.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,40.0,41.0,20.0,53.0,22.0,23.0,3.0,0.0,0.0,0.0,0.0
87,53.0,3.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,33.0,42.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,42.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,-1.0,35.0,21.0,22.0,21.0,52.0,13.0,15.0,53.0,0.0,0.0
91,-1.0,52.0,53.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0
92,11.0,51.0,25.0,15.0,12.0,53.0,31.0,23.0,0.0,0.0,0.0
93,11.0,51.0,53.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0
94,5.0,32.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,45.0,5.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,22.0,51.0,43.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,22.0,51.0,43.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,20.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,20.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,23.0,14.0,-1.0,2.0,54.0,10.0,45.0,11.0,15.0,0.0,0.0
101,54.0,45.0,15.0,2.0,-1.0,10.0,0.0,0.0,0.0,0.0,1.0
